Year,Year,US_pop_SSP1,US_pop_SSP2,US_pop_SSP3,US_pop_SSP4,US_pop_SSP5,US_gdp_SSP1,US_gdp_SSP2,US_gdp_SSP3,US_gdp_SSP4,US_gdp_SSP5,FA_SSP1,FA_SSP2,FA_SSP3,FA_SSP4,FA_SSP5
1977.0,1977.0,223286144.38165322,223286142.44896564,223286132.43481734,223286138.97944146,223286153.0363074,24360.870000000003,24360.870000000003,24360.870000000003,24360.870000000003,24360.870000000003,23.828742540095348,23.830672515477247,23.82716615252334,23.829445843176515,23.833821910728435
1978.0,1978.0,225442099.5578102,225442097.12055886,225442084.4920326,225442092.74525154,225442110.47192138,25479.690000000002,25479.690000000002,25479.690000000002,25479.69,25479.69,24.275405474626574,24.27737162841243,24.273799547824385,24.276121965309557,24.28058004957278
1979.0,1979.0,227625903.15597808,227625901.19476804,227625891.03283185,227625897.674041,227625911.93835685,26057.37,26057.37,26057.37,26057.37,26057.37,24.497975593135212,24.499959772074828,24.49635493235134,24.498698648485014,24.50319761862414
1980.0,1980.0,229825000.0,229825000.0,229825000.00000003,229825000.0,229825000.0,25763.31,25763.31,25763.31,25763.31,25763.309999999998,24.374447677328394,24.37642184499813,24.37283514957747,24.375167069152976,24.379643399638994
1981.0,1981.0,232030911.29977956,232030914.85277557,232030933.26249105,232030921.23104662,232030895.38931796,25670.528339211047,25670.528158553498,25670.52795745456,25670.52807909327,25670.528372927358,24.330568030490934,24.332538561102762,24.328958184619673,24.33128599245141,24.335754462784855
1982.0,1982.0,234251463.80946282,234251471.02207205,234251508.3939362,234251483.9700113,234251431.5111033,25979.932244033404,25979.931794482865,25979.931294065722,25979.93159675303,25979.9323279335,24.44632049373701,24.448300282362545,24.444702696149204,24.44704168789133,24.451531670954523
1983.0,1983.0,236498560.6692562,236498569.76498067,236498616.8941357,236498586.09345266,236498519.9382296,26577.79597925023,26577.795351135468,26577.794651949593,26577.795074866142,26577.79609647596,24.673974644998868,24.675972798952927,24.67234160813023,24.674702444895424,24.67923438850659
1984.0,1984.0,238784105.01936638,238784112.33859283,238784150.2628902,238784125.47792935,238784072.24357057,27350.393809644702,27350.39327185872,27350.39267322231,27350.393035319506,27350.39391001228,24.965516042481976,24.967537853595744,24.96386383417626,24.96625251816522,24.970837899815244
1985.0,1985.0,241120000.0,241120000.0,241120000.00000003,241120000.0,241120000.0,28184.0,28184.0,28184.0,28184.0,28184.0,25.274938773104004,25.27698587454568,25.273266672028562,25.275684742184445,25.280326446499554
1986.0,1986.0,243513089.9972177,243513076.73731622,243513008.03163457,243513052.93339273,243513149.3755992,28982.042770150503,28982.043808753635,28982.044964874585,28982.044265571723,28982.04257631489,25.56551303348236,25.567584096089156,25.563822780242585,25.566268249415653,25.570962387576323
1987.0,1987.0,245949984.38049605,245949957.46274656,245949817.98943844,245949909.14051366,245950104.91927972,29716.566160135393,29716.568290701576,29716.570662341066,29716.569227807522,29716.56576250554,25.827955095160846,25.83004784984925,25.82624857600979,25.828718742963368,25.83346012598436
1988.0,1988.0,248412233.76516548,248412199.81951874,248412023.93142498,248412138.8809381,248412385.77516055,30376.768165045014,30376.7708682727,30376.773877370262,30376.772057257454,30376.76766053874,26.05963167844074,26.061743415691982,26.05791038324555,26.060402508155004,26.0651859587536
1989.0,1989.0,250881388.7665566,250881361.45086062,250881219.91560766,250881312.41424167,250881511.08736095,30951.846779969757,30951.848963895874,30951.85139493297,30951.849924471593,30951.846372381286,26.25791930375715,26.26004688404852,26.256184346513017,26.25869564488335,26.263515982494102
1990.0,1990.0,253339000.0,253339000.0,253339000.0,253339000.0,253339000.0,31431.0,31431.0,31431.000000000004,31431.0,31431.0,26.42015653799026,26.422296394431605,26.418408673334397,26.42093630723341,26.425788329060612
1991.0,1991.0,255778744.71134973,255778794.1979596,255779050.6109708,255778883.03538245,255778523.10828534,31818.29130018693,31818.287326431986,31818.282903047137,31818.285578619867,31818.292041813085,26.548766603135313,26.550915329340956,26.547006335100026,26.549547732323106,26.554426759214696
1992.0,1992.0,258242806.66855347,258242907.12694204,258243427.6483105,258243087.46793458,258242356.8117783,32177.24607542507,32177.238002710885,32177.229016570047,32177.234452016935,32177.247582044387,26.66647948100932,26.66863616664277,26.664707459652014,26.66726160450105,26.672165697337455
1993.0,1993.0,260785496.27008232,260785622.95694456,260786279.3801647,260785850.38279524,260784928.96112853,32586.25520056974,32586.24501577379,32586.2336785694,32586.24053610407,32586.257101369134,26.800442976145018,26.802609724245354,26.798660105077865,26.80122781179517,26.80615823622909
